,level_0,index,channelId,channelTitle,categoryId,title,videoId,publishedAt,viewCount,likeCount,dislikeCount,commentCount,tags,channelVideoId,datePublished,todayDate,daysPublished,averageViewCount,positiveRating,negativeRating,engagementRating
76,16,25,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech,27,Interview with a Competitive Programmer,F4rykKLcduI,2019-08-22T15:15:54Z,725934,17158,345,844,"['joma', 'vlog', 'coding interview', 'competitive programming', 'gaurav sen', 'programming interview', 'computer science', 'problem solving', 'software engineer', 'google interview', 'dynamic programming', 'programming interview question and answer', 'coding interview question and answer', 'interview preparation', 'software development', 'coding problem', 'programming contest', 'coding interview problems', 'joma tech', 'silicon valley']",Joma Tech 16,2019-08-22,2021-02-28,556,1306.0,2.36,0.05,0.12
77,17,3,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech,27,How I Spend My $250K Software Engineer Income,K7s1IYVfvSA,2019-08-05T14:00:04Z,1084185,25230,2167,1772,"['joma', 'vlog', 'software engineer', 'coding', 'google', 'facebook', 'netflix', 'amazon', 'spending money', 'investment', 'finance', 'finances', 'financial advice', 'money', 'salary', 'salaries', 'money tour', 'money tours', 'everything spent money on', 'money diaries', 'getting paid', 'honest accounts', 'honest account', 'software engineering', 'data science']",Joma Tech 17,2019-08-05,2021-02-28,573,1892.0,2.33,0.2,0.16
78,18,22,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech,27,i finally got a software engineering job,uxRf7KS3abo,2019-06-20T14:00:08Z,669029,19946,503,1552,"['joma', 'vlog', 'software engineer', 'computer science', 'how to get a programming job', 'software engineer interview', 'software development', 'coding', 'leetcoding', 'programming', 'coding interview']",Joma Tech 18,2019-06-20,2021-02-28,619,1081.0,2.98,0.08,0.23
79,19,35,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech,27,Top 3 Programming Languages to Learn in 2019,Pb3AAfz5Yjg,2019-06-14T13:00:07Z,766649,27809,565,1654,"['joma', 'vlog', 'top programming languages', 'top programming languages 2019', 'top programming languages 2018', 'top programming languages 2017', 'programming language', 'programming languages 2019', 'software development', 'which programming language to learn', 'best programming language', 'programming languages', 'learn programming', 'most in demand programming languages 2019', 'top 3 programming languages 2019', 'top 5 programming language 2019', 'joma tech']",Joma Tech 19,2019-06-14,2021-02-28,625,1227.0,3.63,0.07,0.22
80,20,46,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech,27,He Got A $277K Google Offer by Lying!,9yUgUsAJ6nc,2019-06-07T14:44:08Z,321330,8134,796,507,"['joma', 'vlog', 'google', 'software engineer', 'google engineer', 'joma tech', 'software engineer interview', 'google interview', 'software engineering salary']",Joma Tech 20,2019-06-07,2021-02-28,632,508.0,2.53,0.25,0.16
81,21,15,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech,27,Silicon Valley Apartment Tour: $4600/Month (ft. Elliot Choy x Arpi Park),_ybAyWUr3gI,2019-05-30T02:04:07Z,413204,7450,1312,588,"['joma', 'vlog', 'joma tech', 'apartment tour', 'silicon valley', 'silicon valley apartment', 'san francisco', 'software engineer', 'elliot choy', 'arpi park']",Joma Tech 21,2019-05-30,2021-02-28,640,646.0,1.8,0.32,0.14
82,22,10,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech,22,The Truth About Programming,LLyd-bqLnu8,2019-05-08T00:45:38Z,325265,17021,993,745,"['joma', 'vlog', 'programming', 'the truth about programming', 'call for code', 'ibm', 'software engineer', 'coding', 'code']",Joma Tech 22,2019-05-08,2021-02-28,662,491.0,5.23,0.31,0.23
83,23,5,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech,22,coding is hard...,uBaU-n77B2Q,2019-05-01T00:10:03Z,445942,16378,1337,1110,"['joma', 'vlog', 'coding', 'coding is hard', 'software engineering', 'programming', 'leetcode']",Joma Tech 23,2019-05-01,2021-02-28,669,667.0,3.67,0.3,0.25
84,24,31,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech,22,Why I left my Data Science Job at FANG (Facebook Amazon Netflix Google),M5v1nXiUaOI,2019-04-12T01:44:41Z,930813,18867,1175,1322,"['joma', 'vlog', 'FANG', 'Facebook', 'Amazon', 'Netflix', 'Google', 'Why I left data science', 'data science', 'software engineer', 'joma tech', 'blind', 'product manager', 'software engineering', 'data scientist']",Joma Tech 24,2019-04-12,2021-02-28,688,1353.0,2.03,0.13,0.14
85,25,45,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech,22,"Interviewing at Google, Uber, Snap and Negotiating to a $300k Job Offer",0CxSvqyEjNE,2019-04-05T01:11:37Z,309560,5590,277,384,"['joma', 'vlog', 'joma tech', 'cyrus', 'cyrus xi', 'Google', 'uber', 'snap', 'snapchat', 'negotiating salary', 'software engineering', 'software developer', '300k', 'software engineering salary', 'negotiating salary offer', 'negotiating salary new job']",Joma Tech 25,2019-04-05,2021-02-28,695,445.0,1.81,0.09,0.12
86,26,23,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech,22,Guy with 2.9 GPA now makes $300k as a SWE (Software Engineer),YGflHj1SjA4,2019-03-30T23:55:19Z,650429,12689,683,888,"['joma', 'vlog', 'software engineer', 'swe', 'software interview', 'google', 'uber', 'snapchat', 'snap', 'joma tech', 'software engineering salary', 'software engineer interview', 'FANG']",Joma Tech 26,2019-03-30,2021-02-28,701,928.0,1.95,0.11,0.14
87,27,41,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech,22,why I stopped making youtube videos,hQ_OP8h_9dQ,2019-03-26T19:24:33Z,181418,7893,178,1124,"['joma', 'youtube', 'joma tech', 'why i stopped making youtube videos', 'why i quit youtube']",Joma Tech 27,2019-03-26,2021-02-28,705,257.0,4.35,0.1,0.62
88,28,44,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech,22,Interview with Ex-Citadel Quant Turned Rapper (ft. Kaido Kid),ivvWyIscEt0,2018-08-09T16:00:05Z,329031,6108,284,553,"['joma', 'vlog', 'interview', 'quant', 'citadel', 'kaido kid', 'quantitative finance', 'two sigma', 'jump trading', 'joma tech', 'interview with a quant', 'rapper']",Joma Tech 28,2018-08-09,2021-02-28,934,352.0,1.86,0.09,0.17
